KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
1410092,RIDGEWOOD,11385,6/7/14,6/17/14,19,0.089
1410161,STATEN ISLAND,10306,6/7/14,6/19/14,1,0.145
1410201,STATEN ISLAND,10305,6/7/14,6/13/14,0,0.051
1410007,New York,10010,6/7/14,6/13/14,0,0.143
1410118,MASPETH,11378,6/8/14,6/11/14,4,0.107
1410193,STATEN ISLAND,10314,6/8/14,6/13/14,1,0.162
1410017,KEW GARDENS,11415,6/8/14,6/12/14,0,0.061
1410143,STATEN ISLAND,10309,6/8/14,6/11/14,0,0.098
13100232,FLUSHING,11358,6/8/14,6/12/14,7,0.125
1410056,BRONX,10461,6/8/14,6/11/14,6,0.132
1410006,BAYSIDE,11361,6/8/14,6/11/14,2,0.203
1410221,STATEN ISLAND,10310,6/8/14,6/17/14,0,0.15
1410189,STATEN ISLAND,10304,6/8/14,6/11/14,26,0.164
1410177,STATEN ISLAND,10306,6/8/14,6/12/14,4,0.158
1410145,STATEN ISLAND,10306,6/8/14,6/11/14,1,0.136
1410100,FLUSHING,11358,6/8/14,6/12/14,19,0.15
1410140,STATEN ISLAND,10306,6/8/14,6/12/14,0,0.124
1410012,HOLLIS,11423,6/9/14,6/12/14,14,0.067
1410055,SOUTH RICHMOND HILL,11419,6/9/14,6/11/14,5,0.089
1410020,STATEN ISLAND,10303,6/9/14,6/11/14,0,0.153
1410128,FOREST HILLS,11375,6/9/14,6/11/14,5,0.113
1410220,STATEN ISLAND,10308,6/9/14,6/17/14,0,0.152
1410168,STATEN ISLAND,10312,6/9/14,6/17/14,0,0.119
1410087,ELMHURST,11373,6/9/14,6/11/14,11,0.158
1410144,STATEN ISLAND,10308,6/9/14,6/11/14,9,0.154
1410158,STATEN ISLAND,10312,6/9/14,6/12/14,30,0.114
1410159,STATEN ISLAND,10308,6/9/14,6/11/14,2,0.104
1410053,ASTORIA,11102,6/9/14,6/11/14,7,0.118
1410029,JAMAICA,11432,6/9/14,6/12/14,1,0.081
1410011,BRONX,10457,6/9/14,6/11/14,0,0.156
1410104,FLUSHING,11354,6/9/14,6/18/14,4,0.189
1410156,STATEN ISLAND,10306,6/9/14,6/12/14,2,0.147
1410162,STATEN ISLAND,10306,6/9/14,6/12/14,0,0.152
1410008,STATEN ISLAND,10308,6/9/14,6/13/14,1,0.113
1410208,STATEN ISLAND,10312,6/9/14,6/11/14,1,0.106
1410103,FLUSHING,11358,6/9/14,6/11/14,8,0.107
1410068,BROOKLYN,11228,6/9/14,6/19/14,24,0.155
1410165,STATEN ISLAND,10314,6/9/14,6/13/14,0,0.107
